input_file:  ../data/quantile_df.csv
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.4484145968510437 39
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.4753003346521123 39
Getting score for:  clim_EPA_albers 0.4637528325178655 39
Getting score for:  relief_elev_focalrange1000m_3s 0.4648003248862766 39
Getting score for:  Rad2016U_Th 0.4706209810265899 39
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.46861885881687204 39
Getting score for:  tpi_300 0.46494797487265604 39
Getting score for:  clim_RSM_albers 0.44596019562562983 39
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.47454355221198913 39
Getting score for:  3dem_mag0.fin 0.46560179989542727 39
Getting score for:  Rad2016K_Th 0.47294888181484485 39
Getting score for:  clim_PTA_albers 0.4754407122119096 39
Getting score for:  water-85m 0.44637356316658905 39
Getting score for:  ceno_euc_aust1 0.48514152643112574 39
Getting score for:  dem_fill 0.443221927204105 39
Getting score for:  3dem_mag2 0.47875305114785327 39
Getting score for:  Thorium_2016 0.473562704132224 39
Getting score for:  mrvbf_9 0.4582857355750546 39
Getting score for:  LOC_distance_to_coast 0.48853712525395954 39
Getting score for:  clim_WDA_albers 0.46152561284378246 39
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.4493687460198179 39
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.47151606853153305 39
Getting score for:  be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata 0.4391271000591963 39
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.45092311998510587 39
Getting score for:  s2-dpca-85m 0.4650234067288399 39
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.4697378076977798 39
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.47607196331934615 39
Getting score for:  LATITUDE_GRID1_clip 0.45708669208695996 39
Getting score for:  relief_mrvbf_3s_mosaic 0.4778843715428816 39
Getting score for:  Dose_2016 0.4684700273152933 39
